Customer_ID,Customer_Name,Gender,Age,City,State,Country,Customer_Segment,Signup_Date
CUST-00001,Vikas Khanna,Male,44,Gurugram,Haryana,India,Consumer,2022-11-17
CUST-00002,Karan Roy,Male,30,Gurugram,Haryana,India,Corporate,2025-05-13
CUST-00003,Mohit Reddy,Male,31,Pune,Maharashtra,India,Consumer,2022-08-28
CUST-00004,Kavya Banerjee,Female,31,Chennai,Tamil Nadu,India,Consumer,2024-04-27
CUST-00005,Manish Gupta,Male,48,Hyderabad,Telangana,India,Consumer,2022-06-24
CUST-00006,Rohan Kapoor,Male,32,Hyderabad,Telangana,India,Corporate,2024-08-07
CUST-00007,Sneha Banerjee,Female,33,Kolkata,West Bengal,India,Small Business,2023-02-21
CUST-00008,Sandeep Banerjee,Male,61,Hyderabad,Telangana,India,Corporate,2025-01-07
CUST-00009,Pooja Gupta,Female,27,Kolkata,West Bengal,India,Consumer,2022-12-26
CUST-00010,Akash Srinivasan,Male,24,Jaipur,Rajasthan,India,Consumer,2023-08-14
CUST-00011,Aditya Srinivasan,Male,33,Surat,Gujarat,India,Consumer,2025-09-30
CUST-00012,Siddharth Patel,Male,25,Lucknow,Uttar Pradesh,India,Consumer,2023-02-15
CUST-00013,Kavya Khanna,Female,25,Bhubaneswar,Odisha,India,Consumer,2023-12-06
CUST-00014,Vikas Reddy,Male,37,Patna,Bihar,India,Consumer,2024-04-06
CUST-00015,Kunal Roy,Male,26,Delhi,Delhi,India,Consumer,2022-07-06
CUST-00016,Ananya Gupta,Female,56,Patna,Bihar,India,Consumer,2023-04-21
CUST-00017,Isha Reddy,Female,27,Ahmedabad,Gujarat,India,Consumer,2024-01-05
CUST-00018,Kavya Mishra,Female,35,Hyderabad,Telangana,India,Consumer,2022-11-21
CUST-00019,Aditi Kulkarni,Female,45,Coimbatore,Tamil Nadu,India,Small Business,2024-06-27
CUST-00020,Deepak Nair,Male,35,Pune,Maharashtra,India,Consumer,2022-07-04
CUST-00021,Anushka Chatterjee,Female,32,Bhubaneswar,Odisha,India,Consumer,2024-02-15
CUST-00022,Mohit Kapoor,Male,33,Delhi,Delhi,India,Consumer,2025-02-01
CUST-00023,Vaishnavi Srinivasan,Female,34,Chandigarh,Chandigarh,India,Small Business,2024-02-03
CUST-00024,Deepak Patel,Male,39,Mumbai,Maharashtra,India,Small Business,2024-09-17
CUST-00025,Siddharth Kapoor,Male,28,Bengaluru,Karnataka,India,Consumer,2025-06-25
CUST-00026,Divya Mishra,Female,41,Chennai,Tamil Nadu,India,Consumer,2022-08-15
CUST-00027,Siddharth Mukherjee,Male,47,Pune,Maharashtra,India,Consumer,2025-11-11
CUST-00028,Aarav Jain,Male,61,Delhi,Delhi,India,Consumer,2022-12-15
CUST-00029,Aditi Agarwal,Female,36,Ahmedabad,Gujarat,India,Small Business,2023-04-22
CUST-00030,Kriti Gupta,Female,30,Jaipur,Rajasthan,India,Consumer,2024-10-15
CUST-00031,Deepak Nair,Male,28,Gurugram,Haryana,India,Small Business,2022-11-04
CUST-00032,Vivek Mishra,Male,41,Bengaluru,Karnataka,India,Consumer,2025-06-28
CUST-00033,Ankit Jain,Male,60,Chennai,Tamil Nadu,India,Consumer,2022-10-30
CUST-00034,Ankit Das,Male,27,Indore,Madhya Pradesh,India,Consumer,2023-04-14
CUST-00035,Yash Mishra,Male,43,Mumbai,Maharashtra,India,Consumer,2023-11-09
CUST-00036,Aditi Mukherjee,Female,37,Delhi,Delhi,India,Consumer,2022-06-10
CUST-00037,Anushka Agarwal,Female,34,Ahmedabad,Gujarat,India,Consumer,2024-06-13
CUST-00038,Anjali Bhat,Female,47,Raipur,Chhattisgarh,India,Consumer,2022-05-19
CUST-00039,Karan Pandey,Male,53,Mumbai,Maharashtra,India,Consumer,2023-11-30
CUST-00040,Tanvi Khanna,Female,35,Delhi,Delhi,India,Corporate,2025-12-09
CUST-00041,Aman Bhat,Male,42,Bhubaneswar,Odisha,India,Consumer,2025-10-05
CUST-00042,Akash Reddy,Male,53,Kochi,Kerala,India,Small Business,2025-02-27
CUST-00043,Nikhil Chatterjee,Male,51,Mumbai,Maharashtra,India,Consumer,2024-10-20
CUST-00044,Siddharth Pandey,Male,29,Bengaluru,Karnataka,India,Consumer,2024-03-01
CUST-00045,Isha Srinivasan,Female,33,Mumbai,Maharashtra,India,Consumer,2023-11-10
CUST-00046,Saanvi यादव,Female,36,Hyderabad,Telangana,India,Consumer,2024-07-15
CUST-00047,Rohan Das,Male,44,Chennai,Tamil Nadu,India,Small Business,2024-08-30
CUST-00048,Neha यादव,Female,53,Gurugram,Haryana,India,Consumer,2025-04-01
CUST-00049,Pooja Verma,Female,32,Raipur,Chhattisgarh,India,Consumer,2023-10-14
CUST-00050,Harsh Roy,Male,33,Mumbai,Maharashtra,India,Consumer,2022-03-11
CUST-00051,Rohan Banerjee,Male,29,Patna,Bihar,India,Consumer,2022-02-24
CUST-00052,Shreya Singh,Female,58,Ahmedabad,Gujarat,India,Consumer,2025-09-26
CUST-00053,Sneha Kapoor,Female,45,Kochi,Kerala,India,Consumer,2024-06-26
CUST-00054,Ananya Pandey,Female,39,Kolkata,West Bengal,India,Small Business,2025-07-24
CUST-00055,Anushka Roy,Female,25,Siliguri,West Bengal,India,Corporate,2025-06-16
CUST-00056,Siddharth Khanna,Male,40,Mumbai,Maharashtra,India,Consumer,2025-12-26
CUST-00057,Yash Agarwal,Male,33,Surat,Gujarat,India,Corporate,2023-08-12
CUST-00058,Vaishnavi Roy,Female,51,Pune,Maharashtra,India,Corporate,2025-12-24
CUST-00059,Kavya Kulkarni,Female,43,Kochi,Kerala,India,Small Business,2025-08-13
CUST-00060,Akash Mukherjee,Male,31,Delhi,Delhi,India,Consumer,2025-09-07
CUST-00061,Anushka Srinivasan,Female,20,Indore,Madhya Pradesh,India,Consumer,2025-09-25
CUST-00062,Isha Roy,Female,26,Delhi,Delhi,India,Consumer,2022-03-07
CUST-00063,Pranav Agarwal,Male,62,Chennai,Tamil Nadu,India,Consumer,2025-10-03
CUST-00064,Kavya Mehta,Female,52,Pune,Maharashtra,India,Consumer,2024-04-03
CUST-00065,Pranav Mukherjee,Male,23,Ahmedabad,Gujarat,India,Consumer,2022-03-22
CUST-00066,Karan Nair,Male,25,Gurugram,Haryana,India,Consumer,2025-07-28
CUST-00067,Ahan Verma,Other,28,Bengaluru,Karnataka,India,Consumer,2023-10-19
CUST-00068,Ankit Srinivasan,Male,36,Mumbai,Maharashtra,India,Consumer,2023-03-18
CUST-00069,Riya Mukherjee,Female,50,Chennai,Tamil Nadu,India,Consumer,2025-07-16
CUST-00070,Priya Patel,Female,49,Pune,Maharashtra,India,Consumer,2023-01-06
CUST-00071,Yash Nair,Male,47,Mumbai,Maharashtra,India,Consumer,2024-12-13
CUST-00072,Isha Verma,Female,30,Hyderabad,Telangana,India,Consumer,2022-05-20
CUST-00073,Kriti Das,Female,54,Pune,Maharashtra,India,Corporate,2024-04-09
CUST-00074,Aman Gupta,Male,56,Hyderabad,Telangana,India,Consumer,2023-01-05
CUST-00075,Divya Roy,Female,29,Pune,Maharashtra,India,Consumer,2023-09-07
CUST-00076,Kriti Nair,Female,35,Delhi,Delhi,India,Consumer,2023-04-26
CUST-00077,Aman Mishra,Male,29,Bengaluru,Karnataka,India,Consumer,2022-09-22
CUST-00078,Sneha Jain,Female,49,Delhi,Delhi,India,Corporate,2024-06-07
CUST-00079,Manish Kulkarni,Male,30,Siliguri,West Bengal,India,Consumer,2022-08-26
CUST-00080,Pooja Bhat,Female,33,Visakhapatnam,Andhra Pradesh,India,Corporate,2022-09-29
CUST-00081,Kavya Kapoor,Female,39,Delhi,Delhi,India,Consumer,2024-02-02
CUST-00082,Rohan Verma,Male,30,Bengaluru,Karnataka,India,Consumer,2023-06-24
CUST-00083,Rahul Mehta,Male,33,Chennai,Tamil Nadu,India,Consumer,2025-11-26
CUST-00084,Aditi Shah,Female,29,Hyderabad,Telangana,India,Consumer,2023-02-25
CUST-00085,Tanvi Khanna,Female,38,Bhubaneswar,Odisha,India,Small Business,2023-03-27
CUST-00086,Arjun यादव,Male,28,Surat,Gujarat,India,Corporate,2024-11-29
CUST-00087,Siddharth Sharma,Male,51,Guwahati,Assam,India,Consumer,2023-05-30
CUST-00088,Arjun Mukherjee,Male,32,Chandigarh,Chandigarh,India,Consumer,2025-01-13
CUST-00089,Vivek Gupta,Male,38,Pune,Maharashtra,India,Consumer,2024-09-28
CUST-00090,Divya Mehta,Female,34,Gurugram,Haryana,India,Small Business,2024-07-17
CUST-00091,Aanya Srinivasan,Female,42,Delhi,Delhi,India,Consumer,2023-07-04
CUST-00092,Siddharth Bhat,Male,37,Delhi,Delhi,India,Consumer,2024-07-03
CUST-00093,Aanya Reddy,Female,31,Pune,Maharashtra,India,Consumer,2023-02-25
CUST-00094,Siddharth Sharma,Male,49,Coimbatore,Tamil Nadu,India,Consumer,2025-04-13
CUST-00095,Vivek Reddy,Male,43,Hyderabad,Telangana,India,Small Business,2025-07-03
CUST-00096,Yash Jain,Male,28,Kochi,Kerala,India,Consumer,2022-08-31
CUST-00097,Divya Nair,Female,31,Surat,Gujarat,India,Corporate,2025-11-22
CUST-00098,Mohit Banerjee,Male,41,Guwahati,Assam,India,Consumer,2023-11-02
CUST-00099,Kavya Agarwal,Female,22,Surat,Gujarat,India,Consumer,2025-10-08
CUST-00100,Mohit Mukherjee,Male,43,Hyderabad,Telangana,India,Consumer,2023-07-30
CUST-00101,Dev Verma,Male,30,Patna,Bihar,India,Consumer,2022-01-11
CUST-00102,Aryan Sharma,Male,45,Mumbai,Maharashtra,India,Corporate,2024-01-27
CUST-00103,Aarav Mukherjee,Male,38,Visakhapatnam,Andhra Pradesh,India,Corporate,2024-10-08
CUST-00104,Nisha Pandey,Female,21,Kolkata,West Bengal,India,Consumer,2023-07-30
CUST-00105,Priya Reddy,Female,27,Mumbai,Maharashtra,India,Consumer,2024-05-21
CUST-00106,Pranav Kapoor,Male,42,Jaipur,Rajasthan,India,Consumer,2024-01-26
CUST-00107,Aditi Banerjee,Female,46,Surat,Gujarat,India,Consumer,2022-08-23
CUST-00108,Aanya Gupta,Female,41,Bengaluru,Karnataka,India,Consumer,2024-06-27
CUST-00109,Aarav Patel,Male,59,Gurugram,Haryana,India,Consumer,2023-11-14
CUST-00110,Aanya Kapoor,Female,42,Jaipur,Rajasthan,India,Consumer,2023-04-12
CUST-00111,Ananya यादव,Female,28,Kolkata,West Bengal,India,Consumer,2023-06-01
CUST-00112,Aman Chatterjee,Male,34,Chandigarh,Chandigarh,India,Consumer,2023-05-07
CUST-00113,Pooja Nair,Female,37,Chennai,Tamil Nadu,India,Consumer,2022-06-20
CUST-00114,Aman Gupta,Male,29,Kolkata,West Bengal,India,Consumer,2022-12-12
CUST-00115,Avni Patel,Other,22,Bengaluru,Karnataka,India,Consumer,2025-07-30
CUST-00116,Anjali Nair,Female,49,Patna,Bihar,India,Consumer,2025-07-12
CUST-00117,Kunal Banerjee,Male,56,Delhi,Delhi,India,Consumer,2024-09-12
CUST-00118,Meera Roy,Female,47,Visakhapatnam,Andhra Pradesh,India,Consumer,2024-12-20
CUST-00119,Rishi Roy,Other,27,Siliguri,West Bengal,India,Consumer,2024-10-28
CUST-00120,Priya Mukherjee,Female,42,Mumbai,Maharashtra,India,Consumer,2022-07-08
CUST-00121,Vaishnavi Reddy,Female,35,Bengaluru,Karnataka,India,Consumer,2025-04-30
CUST-00122,Rahul Shah,Male,25,Ahmedabad,Gujarat,India,Consumer,2025-10-21
CUST-00123,Kriti Khanna,Female,31,Hyderabad,Telangana,India,Consumer,2025-12-16
CUST-00124,Harsh Sharma,Male,27,Bhubaneswar,Odisha,India,Small Business,2025-12-04
CUST-00125,Divya Iyer,Female,31,Lucknow,Uttar Pradesh,India,Small Business,2025-02-24
CUST-00126,Aryan Chatterjee,Male,25,Delhi,Delhi,India,Consumer,2024-10-16
CUST-00127,Riya Verma,Female,25,Chennai,Tamil Nadu,India,Consumer,2025-12-25
CUST-00128,Aarya Mehta,Other,35,Jaipur,Rajasthan,India,Consumer,2024-10-09
CUST-00129,Siddharth Agarwal,Male,26,Lucknow,Uttar Pradesh,India,Consumer,2025-09-11
CUST-00130,Karan Singh,Male,51,Bengaluru,Karnataka,India,Consumer,2024-01-08
CUST-00131,Aman Bhat,Male,22,Bhubaneswar,Odisha,India,Consumer,2025-08-02
CUST-00132,Saanvi Srinivasan,Female,47,Mumbai,Maharashtra,India,Consumer,2025-06-27
CUST-00133,Ananya Mukherjee,Female,53,Jaipur,Rajasthan,India,Corporate,2023-09-17
CUST-00134,Suman Agarwal,Other,39,Lucknow,Uttar Pradesh,India,Consumer,2024-05-07
CUST-00135,Deepak Chatterjee,Male,48,Pune,Maharashtra,India,Consumer,2023-07-23
CUST-00136,Manish Das,Male,53,Pune,Maharashtra,India,Small Business,2023-05-17
CUST-00137,Pranav Roy,Male,40,Chennai,Tamil Nadu,India,Small Business,2024-05-07
CUST-00138,Karan Srinivasan,Male,27,Jaipur,Rajasthan,India,Consumer,2025-01-02
CUST-00139,Manish Shah,Male,42,Pune,Maharashtra,India,Consumer,2025-05-02
CUST-00140,Nikhil Singh,Male,44,Lucknow,Uttar Pradesh,India,Consumer,2024-03-03
CUST-00141,Aditi Iyer,Female,45,Jaipur,Rajasthan,India,Small Business,2022-12-23
CUST-00142,Nikhil Shah,Male,51,Ahmedabad,Gujarat,India,Consumer,2024-05-31
